" ""Colorado Public Library Statistics""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.lrs.org/public/data/csv/id/43830/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Library,City,County,Visits,ILLs Loaned,ILLs Borrowed,Total Number of Challenges,Total Collection Use,Total Circulation,Annual Operating Hours,Automatic Renewals,Overdue Fines for Children's Books,Overdue Fines for YA Books,Overdue Fines for Adult Books,"Average hours open per week, per outlet",Website Visits,Public Access Internet Computers,Total Print Expenditures,Total Collection Expenditures,Miscellaneous Operating Expenditures,Total Operating Expenditures,Capital Expenditures,Staff Salaries,Number of Bookmobiles,Staff Expenditures per Capita,Materials Expenditures per Capita,Other Expenditures per Capita,Total Expenditures per Capita,Local Revenue per Capita,Staff Expenditures as Percent of Total Operating Expenditures,Materials Expenditures as Percent of Total Operating Expenditures,LSA Population,Legal Basis,LSA Registered Borrowers,Number of Non-Resident Registered Borrowers,Total Registered Borrowers,"Staff per 1,000 Served",Print Volumes per Capita,Registration as Percent of Population,Library Visits per Capita,Circulation per Capita,Number of individuals directly engaged,Number of individuals exposed to the library,Circulation per Capita,"Program Attendance per 1,000 Served",Total Programs,Total Program Attendance,Local Capital Revenue,State Capital Revenue,Federal Capital Revenue,Other Capital Revenue,Total Capital Revenue,City General Fund,County General Fund,City Sales Tax,County Sales Tax,City Mill Levy,County Mill Levy,District Mill Levy,Total Local Operating Revenue,Total State Operating Revenue,Total Federal Operating Revenue,Other Operating Revenue,Total Operating Revenue,Non-Supervising Librarian Salary (high),Non-Supervising Librarian Salary (low),MLS Required - Librarian,Library Assistant (high),Library Assistant (low),Library Clerk Hourly (high),Library Clerk Hourly (low),ALA-MLS Librarians (FTE),Total Librarians (FTE),Other Paid Staff (FTE),Total Staff (FTE)
 ,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
Aguilar Public Library,AGUILAR,LAS ANIMAS,690,0,0,0,"1,040","1,040","1,200",Yes,No,No,No,23.1,113,6,"$2,651 ","$3,882 ",$0 ,"$23,964 ",$0 ,"$16,637 ",0,$43.94 ,$8.49 ,$0.00 ,$52.44 ,$20.79 ,84%,16%,457,CI,813,0,813,1.09,13.28,178%,1.51,2.28,Not Collected,Not Collected,2.28,319.47,5,146,$0 ,$0 ,$0 ,$0 ,$0 ,"$9,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$9,500 ","$3,500 ",$0 ,"$16,867 ","$29,867 ","$4,287 ",$0 ,No,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,0.5,0,0.5
Akron Public Library,AKRON,WASHINGTON,"4,998",778,650,0,"5,351","5,351","1,900",No,Yes,Yes,Yes,36.5,"2,500",4,"$3,846 ","$5,170 ","$6,786 ","$60,144 ",$0 ,"$38,188 ",0,$27.41 ,$2.94 ,$3.86 ,$34.21 ,$36.09 ,80%,9%,"1,758",CI,648,1,649,0.57,3.01,37%,2.84,3.04,Not Collected,Not Collected,3.04,340.73,40,599,$0 ,$0 ,$0 ,$0 ,$0 ,"$63,438 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$63,438 ","$4,000 ",$0 ,"$5,759 ","$73,197 ",No Data,No Data,No,No Data,No Data,No Data,No Data,0,1,0,1
Alamosa Public Library,ALAMOSA,ALAMOSA,"28,511","4,096","4,695",0,"171,587","170,721","1,956",Yes,No,No,No,37.6,"6,593",27,"$43,032 ","$64,182 ","$22,322 ","$402,613 ","$75,320 ","$255,346 ",0,$32.44 ,$6.59 ,$2.29 ,$41.32 ,$38.97 ,79%,16%,"9,743",CI,"6,516","2,022","8,538",0.69,3.74,88%,2.93,17.52,Not Collected,Not Collected,17.52,179.21,116,"1,746","$75,320 ",$0 ,$0 ,$0 ,"$75,320 ",$0 ,$0 ,"$379,704 ",$0 ,$0 ,$0 ,$0 ,"$379,704 ","$6,623 ","$5,462 ","$10,824 ","$402,613 ","$44,364 ","$31,712 ",No,$18.40 ,$13.64 ,$14.36 ,$12.00 ,0,3,3.7,6.7
Arapahoe Library District,ENGLEWOOD,ARAPAHOE,"697,548","28,677","48,107",0,"4,260,690","3,838,094","20,027",Yes,No,No,No,38.5,"3,218,424",255,"$894,336 ","$4,189,202 ","$13,600,277 ","$39,730,102 ","$2,875,726 ","$16,112,408 ",2,$80.94 ,$15.45 ,$50.17 ,$146.57 ,$152.84 ,55%,11%,"271,063",LD,"95,282","90,550","185,832",1.09,1.45,69%,2.57,14.16,Not Collected,Not Collected,14.16,194.44,"2,289","52,705",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,726,907 ",$0 ,$0 ,$0 ,$0 ,"$38,701,765 ","$41,428,672 ","$59,035 ","$8,614 ","$560,217 ","$42,056,538 ","$75,597 ","$51,136 ",Yes,$25.88 ,$18.39 ,$21.89 ,$18.00 ,27.75,44.38,250.3,294.68
Aurora Public Library,AURORA,ARAPAHOE,"365,986",618,466,0,"1,067,377","1,034,301","14,448",Yes,No,Yes,Yes,46.3,"1,567,244",236,"$149,358 ","$586,098 ","$887,445 ","$5,445,060 ",$0 ,"$2,983,344 ",0,$11.81 ,$1.74 ,$2.64 ,$16.19 ,$16.08 ,73%,11%,"336,390",CI,"271,896",0,"271,896",0.26,0.68,81%,1.09,3.07,Not Collected,Not Collected,3.07,101.94,"1,836","34,292",$0 ,$0 ,$0 ,$0 ,$0 ,"$5,410,757 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,410,757 ","$81,900 ",$0 ,"$64,553 ","$5,557,210 ","$58,538 ","$49,597 ",Yes,$22.51 ,$19.50 ,$19.87 ,$16.98 ,17,18,70.5,88.5
Baca County Public Library,SPRINGFIELD,BACA,"10,894",0,0,0,"3,212","3,212","2,652",No,No,No,No,17,No Data,6,"$8,000 ","$11,100 ","$3,500 ","$82,157 ",$0 ,"$41,509 ",0,$19.42 ,$3.19 ,$1.01 ,$23.62 ,$0.00 ,82%,14%,"3,478",CO,891,0,891,0.86,4.41,26%,3.13,0.92,Not Collected,Not Collected,0.92,12.08,5,42,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,000 ",$0 ,$0 ,"$5,000 ","$10,500 ",No Data,No,No Data,No Data,No Data,No Data,0,3,0,3
Basalt Regional Library District,BASALT,EAGLE,"63,241","33,057","11,480",0,"154,876","123,865","2,860",No,No,No,No,55,"52,605",47,"$45,766 ","$92,143 ","$560,732 ","$1,549,214 ",$0 ,"$807,368 ",0,$73.24 ,$7.53 ,$45.82 ,$126.58 ,$123.73 ,58%,6%,"12,239",LD,"13,090","14,420","27,510",1.39,4.02,225%,5.17,10.12,Not Collected,Not Collected,10.12,555.27,395,"6,796",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,514,358 ","$1,514,358 ","$5,943 ",$0 ,"$81,647 ","$1,601,948 ","$55,000 ","$47,253 ",No,$28.06 ,$16.00 ,No Data,No Data,1,4,13,17
Berthoud Community Library District,BERTHOUD,LARIMER,"25,691",0,104,0,"50,865","50,865","2,264",No,No,No,No,43.5,"29,854",10,"$26,975 ","$48,192 ","$315,539 ","$625,895 ",$0 ,"$242,474 ",0,$11.02 ,$2.03 ,$13.27 ,$26.32 ,$27.18 ,42%,8%,"23,783",LD,"7,412","1,514","8,926",0.23,0.81,38%,1.08,2.14,Not Collected,Not Collected,2.14,118.61,262,"2,821",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$646,329 ","$646,329 ","$12,466 ",$0 ,"$12,414 ","$671,209 ","$48,173 ","$48,173 ",Yes,$17.53 ,$15.62 ,$13.15 ,$12.78 ,2,2,3.53,5.53
Boulder Public Library,BOULDER,BOULDER,"346,114","63,830","104,955",0,"1,534,866","1,323,792","5,588",Yes,No,No,No,21.5,"1,260,106",63,"$335,940 ","$1,095,828 ","$1,257,422 ","$7,344,116 ","$1,897,000 ","$3,896,161 ",0,$46.15 ,$10.13 ,$11.63 ,$67.90 ,$75.22 ,68%,15%,"108,154",CI,"83,120","50,580","133,700",0.69,1.62,124%,3.2,12.24,Not Collected,Not Collected,12.24,214.08,"2,716","23,154","$1,897,000 ",$0 ,$0 ,$0 ,"$1,897,000 ","$6,798,340 ",$0 ,$0 ,$0 ,"$1,337,171 ",$0 ,$0 ,"$8,135,511 ","$25,048 ",$0 ,"$895,176 ","$9,055,735 ","$88,478 ","$58,374 ",Yes,$30.55 ,$18.21 ,$18.33 ,$17.42 ,23.25,26.75,47.5,74.25
