,Name,Class,Subtype,D170,d30Si,d51V,e53Cr,e54Cr,D170_2se,d30Si_2se,d51V_2se,e53Cr_2se,e54Cr_2se
0,10049,Moon,None,NaN,-0.280,NaN,NaN,NaN,NaN,0.03,NaN,NaN,NaN
1,12054,Moon,Ilmenitebasalt1969 ...,NaN,-0.290,NaN,NaN,NaN,NaN,0.05,NaN,NaN,NaN
2,12061,Moon,None,NaN,NaN,NaN,0.22,0.1,NaN,NaN,NaN,0.1,0.06
3,14053,Moon,None,NaN,-0.270,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN
4,15555,Moon,None,NaN,-0.280,NaN,NaN,NaN,NaN,0.04,NaN,NaN,NaN
5,70017,Moon,None,NaN,NaN,NaN,0.08,0.03,NaN,NaN,NaN,0.12,0.06
6,77215,Moon,None,NaN,-0.240,NaN,NaN,NaN,NaN,0.04,NaN,NaN,NaN
7,A881334,Carbonaceous Chondrites,CM2 ...,-4.160,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
8,A881594,Carbonaceous Chondrites,CM2 ...,-2.490,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
9,A881655,Carbonaceous Chondrites,CM2 ...,-2.370,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
10,A881955,Carbonaceous Chondrites,CM2 ...,-2.580,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
11,ALH76005.17,Vesta,Eucrite ...,0.34,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
12,ALH76005.20,Vesta,Eucrite ...,0.33,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
13,ALH77055,Mars,None,0.326,NaN,NaN,NaN,NaN,0.068,NaN,NaN,NaN,NaN
14,ALH77302.27,Vesta,Eucrite ...,0.53,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
15,ALH77307,Carbonaceous Chondrites,CO3 ...,-4.470,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
16,ALH78132.50,Vesta,Eucrite ...,0.29,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
17,ALH82135,Carbonaceous Chondrites,CK4 ...,-4.170,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
18,ALH83100,Carbonaceous Chondrites,CM1/2 ...,-2.500,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
19,ALH83100.202,Carbonaceous Chondrites,CM2 ...,NaN,NaN,-2.00,NaN,NaN,NaN,NaN,0.4,NaN,NaN
20,ALH83108.40,Carbonaceous Chondrites,CO3.5 ...,NaN,NaN,-1.80,NaN,NaN,NaN,NaN,0.2,NaN,NaN
21,ALH85085,Carbonaceous Chondrites,CH3 ...,-1.620,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
22,ALHA-78132,Vesta,Eucrite ...,NaN,-0.420,NaN,NaN,NaN,NaN,0.03,NaN,NaN,NaN
23,ALHA77295,Enstatite Chondrites,EH3 ...,NaN,NaN,NaN,0.14,0.05,NaN,NaN,NaN,0.06,0.14
24,Abee,Enstatite Chondrites,EH4 ...,NaN,-0.640,NaN,0.26,-0.060,NaN,0.04,NaN,0.08,0.12
25,Abee EH4,Enstatite Chondrites,EH4 ...,NaN,-0.710,NaN,NaN,NaN,NaN,0.1,NaN,NaN,NaN
26,Acfer-380,Ordinary Chondrites,H5 ...,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,Acfer082,Carbonaceous Chondrites,CV3 ...,-3.730,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
28,Acfer086,Carbonaceous Chondrites,CV3 ...,-3.400,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
29,Acfer094,Carbonaceous Chondrites,C2-un ...,-4.520,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
30,Acfer182,Carbonaceous Chondrites,CH3 ...,-1.550,NaN,NaN,NaN,NaN,0.07,NaN,NaN,NaN,NaN
31,Acfer202,Carbonaceous Chondrites,CO3 ...,-4.000,-0.490,NaN,NaN,NaN,0.07,0.01,NaN,NaN,NaN
32,Acfer214,Carbonaceous Chondrites,CH3 ...,NaN,NaN,NaN,0.01,1.37,NaN,NaN,NaN,0.12,0.29
